y,age,year
-6.31553401701215,0,2022
-8.25482892694875,1,2022
-8.70956508406369,2,2022
-9.22039070782968,3,2022
-9.38469375912096,4,2022
-9.36116326171077,5,2022
-9.55283068092296,6,2022
-9.52505111681588,7,2022
-9.73797311405855,8,2022
-9.98686916147518,9,2022
-9.64112328806864,10,2022
-9.40879131070002,11,2022
-9.61081793857331,12,2022
-9.11503019217186,13,2022
-9.14268172350237,14,2022
-8.57376354290463,15,2022
-8.38178855441003,16,2022
-8.22452357745342,17,2022
-8.06611757205602,18,2022
-7.86747556878363,19,2022
-7.81162349085773,20,2022
-7.64589982547282,21,2022
-7.52765199780249,22,2022
-7.61095279539558,23,2022
-7.77525584668686,24,2022
-7.68864137385009,25,2022
-7.61703184147197,26,2022
-7.7040432184616,27,2022
-7.66277786326017,28,2022
-7.55592909389935,29,2022
-7.5810998322459,30,2022
-7.53324381106827,31,2022
-7.44904011023284,32,2022
-7.46462484124953,33,2022
-7.297839285052,34,2022
-7.31122238442763,35,2022
-7.26157715393846,36,2022
-7.1665260079395,37,2022
-7.06324018182253,38,2022
-7.05047158118373,39,2022
-6.90575727631946,40,2022
-6.88403875236482,41,2022
-6.75589292967289,42,2022
-6.68381204749736,43,2022
-6.65233816711763,44,2022
-6.56914247786181,45,2022
-6.4766224241254,46,2022
-6.28825463859049,47,2022
-6.1918686114527,48,2022
-6.11160034834796,49,2022
-6.04275784149553,50,2022
-5.91265336668369,51,2022
-5.79655587480856,52,2022
-5.69909348517007,53,2022
-5.59483838766702,54,2022
-5.51200575909149,55,2022
-5.41148606465367,56,2022
-5.32712844840216,57,2022
-5.24307189232206,58,2022
-5.15751248995702,59,2022
-5.02951234986594,60,2022
-4.93575975945115,61,2022
-4.8208417224636,62,2022
-4.7577387846327,63,2022
-4.65667402885521,64,2022
-4.55704691080636,65,2022
-4.45021982599027,66,2022
-4.36481559794353,67,2022
-4.27148755097563,68,2022
-4.13304381136138,69,2022
-4.03786971529412,70,2022
-3.93314450205026,71,2022
-3.8347379427186,72,2022
-3.74502661473694,73,2022
-3.64283591561261,74,2022
-3.52468792419245,75,2022
-3.51240831099816,76,2022
-3.33462343341251,77,2022
-3.20927208872551,78,2022
-3.14678774847395,79,2022
-3.00078501719064,80,2022
-2.89740845749829,81,2022
-2.7862982701035,82,2022
-2.69590920220848,83,2022
-2.51433134102283,84,2022
-2.42435732492396,85,2022
-2.27944490430253,86,2022
-2.15709178025797,87,2022
-2.02025984272902,88,2022
-1.90294357578884,89,2022
-1.77634882552862,90,2022
-1.6483242814866,91,2022
-1.55878282165516,92,2022
-1.43394377619106,93,2022
-1.3469928819975,94,2022
-1.22413129493395,95,2022
-1.14674531879742,96,2022
-1.03290320290871,97,2022
-0.928753065165251,98,2022
-0.889103672030191,99,2022
-0.64990169911948,100,2022
