y,age,year
-6.28235175050871,0,2020
-8.27033311348471,1,2020
-8.77208544104503,2,2020
-9.27221577569427,3,2020
-9.32687418823213,4,2020
-9.64112328806864,5,2020
-9.88368492523995,6,2020
-9.68837617291918,7,2020
-9.98686916147518,8,2020
-9.59600285278817,9,2020
-9.8265265114,10,2020
-9.70463669379096,11,2020
-9.2305430792937,12,2020
-9.07057842960102,13,2020
-8.99522899235924,14,2020
-8.74660635574404,15,2020
-8.30208181179929,16,2020
-8.19510969224712,17,2020
-8.08216928106653,18,2020
-7.81409568000312,19,2020
-7.854505218341,20,2020
-7.55976051621091,21,2020
-7.52579498705528,22,2020
-7.54263355141811,23,2020
-7.63964328785851,24,2020
-7.6354939043117,25,2020
-7.60692053186765,26,2020
-7.59890445687941,27,2020
-7.66918130029538,28,2020
-7.58502911038579,29,2020
-7.5616817463888,30,2020
-7.52024455652463,31,2020
-7.46288116164471,32,2020
-7.29931748192131,33,2020
-7.29636327002388,34,2020
-7.28026928695062,35,2020
-7.25165503143215,36,2020
-7.19543735143392,37,2020
-7.19144533016438,38,2020
-7.08688194487957,39,2020
-6.99440308570781,40,2020
-6.85043021236287,41,2020
-6.80429657061391,42,2020
-6.69264389936519,43,2020
-6.62257633674847,44,2020
-6.49366084417592,45,2020
-6.41978894936223,46,2020
-6.33170387029844,47,2020
-6.21310922229846,48,2020
-6.15069477267854,49,2020
-6.00030349577519,50,2020
-5.90235537203621,51,2020
-5.83241161725338,52,2020
-5.75749975716219,53,2020
-5.63546983447411,54,2020
-5.53987950338626,55,2020
-5.42615073805792,56,2020
-5.35108543208669,57,2020
-5.27148071259448,58,2020
-5.15387076218301,59,2020
-5.09815589162575,60,2020
-4.96915751464995,61,2020
-4.86420001586671,62,2020
-4.77311557683754,63,2020
-4.67698847377856,64,2020
-4.59898932691301,65,2020
-4.48800956621451,66,2020
-4.38475034059548,67,2020
-4.28214510126431,68,2020
-4.17527266173934,69,2020
-4.07748744515568,70,2020
-4.00227599440571,71,2020
