"Age","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"A10",0.000221806796221848,0.000202426185756732,0.000192315173442383,0.000186825588113331,0.000172130781549387,0.000164127351031568,0.000148847775323159,0.000141405792472474,0.000132964068809493,0.000140424012929823,0.000135501242962374,0.000124791603685735,0.000119809149349364,0.00011018812427424,0.000113219716638872,0.000110262119703699,0.000117913282213099,0.000109527164981767,0.000106205812295388,0.00011265139793001,0.000116289232061556,9.79591956343552e-05,0.000123439290468743,9.37315112585921e-05,8.53551168733093e-05,0.000100165317627147,9.43701680528502e-05,8.03180841373392e-05,8.07985561543019e-05,8.57363519498449e-05,8.89853662415709e-05,7.10997353431424e-05,7.4409371394575e-05,7.32730134827935e-05,7.04257165217375e-05,6.98441003128895e-05,7.24313535081749e-05,7.18964857858945e-05,0.000108838325408947,7.28771985950868e-05,6.2075371013896e-05,6.50115691220903e-05,7.53690937175316e-05,6.73902145469474e-05,5.89349155218882e-05,6.99850423221738e-05,6.78415621598128e-05,6.72670615817499e-05,6.72346065393015e-05,7.3424874161067e-05
"A11",0.000216680476700521,0.000201761967904382,0.000191057214131439,0.000180699584865014,0.000166472875535451,0.000162937742493381,0.000148474447637295,0.000135941093252345,0.000131703727786197,0.000137945873420448,0.000132373138728464,0.000124266899652054,0.000122533520481363,0.000113554580608373,0.000112452821728766,0.000112902689123682,0.000116170874399413,0.000107912272751506,0.000105587300156417,0.000115866126723935,0.00011668986404356,9.63543525026025e-05,0.000125972690372713,9.59777100769455e-05,8.60469479790729e-05,0.000101471079482203,9.81438683506759e-05,8.15614060709994e-05,8.28659186212121e-05,8.55121524506895e-05,9.34583839392569e-05,7.56649273156244e-05,7.76505096167465e-05,7.53756494782557e-05,7.3940669583476e-05,7.22414166336504e-05,7.53891622959062e-05,7.6342522598374e-05,0.000110514616086843,7.66720118844267e-05,6.5148792752424e-05,6.77911755301242e-05,7.86357878518038e-05,7.10805714867877e-05,6.28241983672668e-05,7.51559051003981e-05,7.25330499133312e-05,7.35476872869165e-05,7.46585963197131e-05,8.10952742932137e-05
"A12",0.000221338769316113,0.000209929181726659,0.000197462259850749,0.000182415165935819,0.000168248387688905,0.000167647161053325,0.000154698390546002,0.000138296142281248,0.000138258504366413,0.000140389996843266,0.0001363378522255,0.000128761811864755,0.000130716839428203,0.000122729402479354,0.000117414609903474,0.000121441192835525,0.000119416228529279,0.000112637887755552,0.000110128283431128,0.000123653270213839,0.000121122924968038,0.000100021167196766,0.000132978732145482,0.000103702739382912,9.15543678444101e-05,0.000107466917730883,0.000106371168478564,8.66488344436373e-05,8.91493481624715e-05,8.98274889821145e-05,0.000101131180808739,8.39091013487118e-05,8.41787674597874e-05,8.14646293559829e-05,8.06591045087843e-05,7.85146972960411e-05,8.13899485869766e-05,8.34674021494917e-05,0.000116056867569243,8.29939123521931e-05,7.07895721030596e-05,7.24910246028547e-05,8.34021274031439e-05,7.62781332294542e-05,6.87010952348782e-05,8.21570789056894e-05,7.96581352772458e-05,8.22913748834576e-05,8.47572764079897e-05,9.12245277066637e-05
"A13",0.000235771877118719,0.00022642493038417,0.000211118691358157,0.00019113867195524,0.00017699113090241,0.00017846865534613,0.000167086393341997,0.000149437444110607,0.000153397342813852,0.00014907126367906,0.000148441650851328,0.000138944716270601,0.000144168486654556,0.000137216875443831,0.000128105216192291,0.000135754127670502,0.000128255022140885,0.000124448559593225,0.000120243328882634,0.000135964914397922,0.000129088759284469,0.000109490427062235,0.000144442797971988,0.00011602526639141,0.000101579003562195,0.000118107930654351,0.000118986227212522,9.61462112404445e-05,9.98990765227614e-05,9.90567714803765e-05,0.000112047252524934,9.62051783464611e-05,9.4304855332841e-05,9.17529151136889e-05,9.09353652112366e-05,8.91178553665175e-05,9.06163228821883e-05,9.33542532260199e-05,0.000125765556099895,9.17295190058563e-05,7.90340623452653e-05,7.91350737273487e-05,8.9625215535605e-05,8.29297507710871e-05,7.64048890389882e-05,9.08033338433224e-05,8.89501230118401e-05,9.35139952146882e-05,9.7410381733525e-05,0.00010376961476568
"A14",0.000259915424662383,0.00025054786184002,0.000231691295670447,0.000206866115988916,0.000192700877197341,0.000195947807827404,0.000185436595559643,0.000169558813264319,0.000176747478944848,0.000165011792534324,0.00016940950130695,0.000155225045496748,0.000162242734864547,0.000156423485527363,0.000144347777098711,0.000155384877819704,0.000143846094984176,0.000143301775736728,0.00013615975423007,0.00015295669604923,0.000140915305931342,0.000124754974003384,0.000160200890317342,0.000132321999668663,0.000116555097733325,0.000133688876873907,0.000135561814430581,0.000110417635043475,0.000115000443917008,0.000113103150188624,0.000126488009312055,0.000112818992940325,0.000108417905135123,0.000106084419994581,0.000104894707559658,0.000104157413055725,0.000103069561863582,0.00010589487846899,0.000139433645062479,0.000102545045456548,8.95899499202011e-05,8.76693240421764e-05,9.71938100340843e-05,9.08826158492374e-05,8.55627305114187e-05,0.000100725344403406,9.97772162575462e-05,0.000106852350050505,0.000112000474641556,0.000118316614939713
"A15",0.000292854867592371,0.000281247803414074,0.000259022458600001,0.000230024079679023,0.00021549727805688,0.00022023682761344,0.000209662484413516,0.000197729355389449,0.000205968559935559,0.000188334647670311,0.000198147603646949,0.000177398604860893,0.000183995610590286,0.00017982643762781,0.000165731656703448,0.000179518867583143,0.000167446546782789,0.000168637400368837,0.000157427041525065,0.000174293582144049,0.000157319235064615,0.000145251276259585,0.000179551063824624,0.000152193811345257,0.000137403898148755,0.000154622847028063,0.000155747838576673,0.000129400147242358,0.000133927755316479,0.000131695524064107,0.0001444816126534,0.000133543918374482,0.000126683726871926,0.000124506637703891,0.000122403483365444,0.000123585877035383,0.000118836553057757,0.000120843958291511,0.0001567898337913,0.000115269387679558,0.000102313987652386,9.81726851644269e-05,0.000106013823882505,0.000100064795532301,9.59392281064248e-05,0.000111698652026904,0.000111743851772056,0.000121989082082295,0.000128025131105434,0.000134413487507595
"A16",0.00033293318369906,0.000317240748099736,0.000292962222779019,0.00026062108139462,0.000244968127796271,0.000250402995296682,0.000239134723459595,0.000231645281938498,0.000236973647221405,0.000217652333181222,0.00023103033122282,0.000204400177217323,0.000208214688408729,0.00020684934179753,0.000191511331582513,0.000206698829747176,0.000198931183634252,0.000199137254123656,0.000182582787319427,0.000198587726125179,0.00017849830853581,0.000169977426029186,0.000201256136507296,0.000174940299018558,0.000164248829606289,0.000180504456384573,0.000179173156364156,0.000152352252705486,0.000155711952794963,0.00015424672650158,0.000165264777924429,0.00015737841710921,0.000148802392288746,0.000147300379029225,0.000143121817828524,0.000147083298136457,0.000138105411078902,0.00013786455894331,0.00017760582042235,0.000129939018398947,0.000117393095136536,0.000110836146460605,0.000116025550748583,0.000110519812008234,0.000107538808415524,0.000123693451909929,0.000124867421326302,0.000138749791389488,0.000145373868834193,0.000151725167999736
"A17",0.000378360248031238,0.000357214111649884,0.000332842024831782,0.000297524932035137,0.000279524184807589,0.000284155374574108,0.000271965977080694,0.000267568867412772,0.000265506147974221,0.000249785151185219,0.000263203595147435,0.000234245409697581,0.000233243568497559,0.000236348466420934,0.000220373333677832,0.000234484237087631,0.000234911777811779,0.000231980995244436,0.000209180601077108,0.000223416643108207,0.000203234120568822,0.000197471884483467,0.000223797828241576,0.00019901762298118,0.000194821074924182,0.000209098207419665,0.00020469996639662,0.000177716952131856,0.000178957215640833,0.000179237876562702,0.000187179590364679,0.000182530926964027,0.000173974495445373,0.000174122007049835,0.000166451869607087,0.000173578891320587,0.000160731688483632,0.000156447712813399,0.000201264964507141,0.000146408767604806,0.000134921904598982,0.000125674282675621,0.000127129150508045,0.000122246150286726,0.000120321482475328,0.000136562032886851,0.000139081873156397,0.00015668910395683,0.000163879034940269,0.000169806644485723
"A18",0.000427461192380642,0.000399901376406598,0.000376927572158853,0.000338387385554901,0.000316349066675917,0.000318337903373686,0.000305095082549237,0.000300934089526031,0.000289044454619053,0.000280424076518,0.000291274098939066,0.000264334870118955,0.000257046416050802,0.000266175331488842,0.000250191654043832,0.000259786041172857,0.000268513736495683,0.000262693840860835,0.000234328772047236,0.000246046120355947,0.000228561051777496,0.000225491700011163,0.000245570815864336,0.000222020787993981,0.000224116889891899,0.000236439597764962,0.000229956301244065,0.000203353071499405,0.000201982760202807,0.000203900574381781,0.00020820570099033,0.000206858199150433,0.000201004731405925,0.000203047714453967,0.000191346496055085,0.000200962896293189,0.000185722531602326,0.000175792199444464,0.00022636437087874,0.000164014110575876,0.000154302632928052,0.000142276577138315,0.000139125517415511,0.000135050374678645,0.000133899602303234,0.000149773199815875,0.000153732576483351,0.000174742115024789,0.000182754974929324,0.000187854968284708
"A19",0.00047815102026851,0.000443939505083909,0.000422344720908181,0.000380318584144209,0.000352269400062856,0.000350093454567552,0.000335501661646074,0.000327976481414166,0.000307560571962946,0.000305800487028483,0.000314724135254488,0.000292155873307468,0.000277882993592321,0.000293511362302989,0.000278186869549114,0.000280179725999133,0.000292707611497449,0.000286778186573314,0.000255606745076722,0.00026447455559556,0.00025054637070006,0.000250864326127712,0.000264948958891371,0.000241375014566342,0.000246588071381409,0.000258653421379663,0.000252084153654371,0.000227183037109029,0.000223136989903807,0.000225076545319613,0.000226797324896314,0.000228499935752859,0.000228362280565137,0.000230825601871474,0.000216204643345661,0.0002266277029635,0.000211235297895258,0.000194842056965014,0.000251007625944226,0.000181743025103103,0.000174131744410737,0.000159884561150879,0.000151758254996063,0.000148586217813958,0.000147598222741157,0.000162549327408704,0.000167725898855695,0.000191517589902468,0.000200684678295343,0.000204851068743078
