"","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"A10",-8.412833176092,-8.58976388425107,-8.52724352726974,-8.72176035715751,-8.6856118430412,-8.6622189634665,-8.89552963213615,-8.8387768155437,-8.83190393625594,-8.80487526386802,-9.01148951323102,-9.07057842960102,-9.01972001236753,-9.24079957946089,-9.1711196588229,-9.36116326171077,-9.1711196588229,-9.05333662316652,-9.26163366636373,-9.05333662316652,-9.15207146385221,-9.16155020780675,-9.07057842960102,-9.45880173127468,-9.56701531591492,-9.30465105144742,-9.43348392329039,-9.52505111681588,-9.49802244442796,-9.25116236649644,-9.62585581593785,-9.5114454647601,-9.34960243930969,-9.62585581593785,-9.52505111681588,-9.58140405336701,-9.45880173127468,-9.67237583157274,-9.07057842960102,-9.90348755253613,-9.68837617291918,-9.67237583157274,-9.55283068092296,-9.56701531591492,-9.90348755253613,-9.86426683938285,-9.86426683938285,-9.77245929012972,-9.96536295625422,-9.79015886722913
"A11",-8.46840302724681,-8.50724286056307,-8.73410619297981,-8.56848648580379,-8.6622189634665,-8.88103662483358,-8.88825687280707,-8.86675066758611,-9.16155020780675,-8.91767075801336,-8.92516142974252,-9.02801881518223,-8.99522899235924,-9.1711196588229,-9.16155020780675,-9.08812273925193,-8.94031323476312,-9.22039070782968,-9.14268172350237,-9.07931210956978,-9.20039004112301,-9.48477721767794,-8.91767075801336,-9.32687418823213,-9.39666995016768,-9.37285930147396,-9.14268172350237,-9.53884443894822,-9.56701531591492,-9.59600285278817,-9.1711196588229,-9.6566274746046,-9.8081773727318,-9.62585581593785,-9.8265265114,-9.8081773727318,-10.1779243982379,-9.8265265114,-9.28291106481102,-9.64112328806864,-9.77245929012972,-9.62585581593785,-9.40879131070002,-9.55283068092296,-10.20459264532,-9.64112328806864,-9.64112328806864,-10.031320924046,-9.84521864441215,-9.88368492523995
"A12",-8.63936082539045,-8.50724286056307,-8.52724352726974,-8.70956508406369,-8.69751674554752,-8.62812475212352,-8.76565455071474,-9.07057842960102,-9.00332620259186,-8.9556981536026,-8.92516142974252,-8.9792286510128,-9.05333662316652,-9.06192036685791,-9.13337933084005,-9.19053774468,-9.04482593349861,-9.26163366636373,-9.1711196588229,-9.08812273925193,-8.88103662483358,-9.44606270549725,-8.9327086353779,-9.22039070782968,-9.22039070782968,-9.13337933084005,-9.19053774468,-9.43348392329039,-9.58140405336701,-9.49802244442796,-9.33817374348607,-9.72116599574217,-9.77245929012972,-9.61081793857331,-9.6566274746046,-9.86426683938285,-9.42106140329184,-9.5114454647601,-9.22039070782968,-9.5114454647601,-9.84521864441215,-9.62585581593785,-9.68837617291918,-9.61081793857331,-10.031320924046,-9.45880173127468,-9.61081793857331,-9.49802244442796,-9.52505111681588,-9.56701531591492
"A13",-8.27817629094574,-8.53230682922629,-8.56323712991764,-8.49250057882587,-8.74660635574404,-8.72791422273189,-8.67971212091401,-8.85968350036301,-8.84569725838827,-8.87386813535497,-8.91023577952584,-9.01972001236753,-8.91023577952584,-8.88103662483358,-9.07931210956978,-8.84569725838827,-9.07931210956978,-8.98719682066197,-9.08812273925193,-8.99522899235924,-8.9792286510128,-9.2305430792937,-9.03638706485274,-9.01972001236753,-9.2305430792937,-8.98719682066197,-9.16155020780675,-9.33817374348607,-9.36116326171077,-9.25116236649644,-9.16155020780675,-9.43348392329039,-9.34960243930969,-9.37285930147396,-9.64112328806864,-9.5114454647601,-9.43348392329039,-9.48477721767794,-9.24079957946089,-9.70463669379096,-9.64112328806864,-9.72116599574217,-9.62585581593785,-9.47170513611059,-9.55283068092296,-9.38469375912096,-9.34960243930969,-9.25116236649644,-9.25116236649644,-9.52505111681588
"A14",-8.33071362447362,-8.44487252983661,-8.35592504382011,-8.70956508406369,-8.70956508406369,-8.6856118430412,-8.83190393625594,-8.80487526386802,-8.67971212091401,-8.78507263657184,-8.87386813535497,-8.94797610750869,-8.74660635574404,-8.76565455071474,-8.85968350036301,-8.9556981536026,-8.91767075801336,-8.88103662483358,-9.21034037197618,-8.84569725838827,-8.92516142974252,-8.91023577952584,-8.85968350036301,-8.97132347150568,-9.24079957946089,-9.20039004112301,-9.00332620259186,-9.45880173127468,-9.07931210956978,-9.32687418823213,-9.07931210956978,-9.16155020780675,-9.15207146385221,-9.34960243930969,-9.18078156973464,-9.59600285278817,-9.48477721767794,-9.37285930147396,-9.26163366636373,-9.11503019217186,-9.36116326171077,-9.52505111681588,-9.32687418823213,-9.6566274746046,-9.21034037197618,-9.24079957946089,-9.27221577569427,-9.48477721767794,-9.10598035665194,-9.05333662316652
"A15",-8.15951874714442,-8.08866281037708,-8.27424701280585,-8.42643882814777,-8.52724352726974,-8.66801608115082,-8.54251099940053,-8.58440194110969,-8.43561320442381,-8.73410619297981,-8.54765239890095,-8.61701352669845,-8.69751674554752,-8.67384700146161,-8.70956508406369,-8.61701352669845,-8.77855795555064,-8.79823072114935,-8.88103662483358,-8.75291552493731,-8.85266592770437,-8.9327086353779,-8.57376354290463,-8.82507797118554,-8.91023577952584,-8.94031323476312,-8.791630037118,-9.00332620259186,-9.04482593349861,-9.01148951323102,-9.01148951323102,-9.00332620259186,-8.94031323476312,-8.94031323476312,-9.19053774468,-8.90285567222822,-9.19053774468,-8.91023577952584,-8.84569725838827,-9.18078156973464,-9.08812273925193,-9.36116326171077,-9.34960243930969,-9.38469375912096,-9.37285930147396,-9.15207146385221,-8.99522899235924,-9.12416267573513,-8.91767075801336,-8.88825687280707
"A16",-7.99839939800107,-7.93497757156357,-8.23201424918257,-8.25868249626474,-8.27033311348471,-8.18429877614291,-8.3061222213363,-8.32244911462373,-8.37309284744248,-8.39941015575985,-8.28212106923675,-8.53739589873376,-8.29404964010203,-8.43101549517518,-8.46840302724681,-8.42643882814777,-8.5122056499052,-8.49739056412006,-8.40833878650415,-8.39941015575985,-8.72176035715751,-8.67971212091401,-8.46365242448821,-8.55801518593649,-8.77855795555064,-8.62812475212352,-8.54765239890095,-8.67384700146161,-8.63936082539045,-8.77855795555064,-8.66801608115082,-8.67384700146161,-8.97132347150568,-8.9327086353779,-8.70352276960773,-8.791630037118,-8.88825687280707,-8.94031323476312,-8.64502656292612,-8.94797610750869,-9.13337933084005,-9.40879131070002,-8.86675066758611,-8.9327086353779,-9.01148951323102,-9.07057842960102,-9.05333662316652,-8.96348029404466,-8.92516142974252,-8.66801608115082
"A17",-7.86747556878363,-7.98069982090167,-7.99246466248126,-8.1050835405894,-8.14908386985184,-8.15602834220465,-8.06930736742412,-8.1084002932154,-8.11841707145887,-8.24716605420318,-8.07893826048508,-8.25868249626474,-8.45421839225485,-8.39056054048287,-8.60057480035529,-8.36877318629796,-8.37309284744248,-8.29404964010203,-8.51719319141624,-8.58440194110969,-8.52724352726974,-8.5122056499052,-8.33487163462228,-8.65645525874974,-8.58440194110969,-8.35167875293866,-8.53230682922629,-8.67384700146161,-8.56323712991764,-8.47797247826296,-8.63372700767219,-8.52724352726974,-8.72791422273189,-8.65072458404076,-8.67384700146161,-8.60602440512285,-8.69751674554752,-8.74033674273045,-8.37309284744248,-8.9327086353779,-9.12416267573513,-8.94797610750869,-8.98719682066197,-8.9792286510128,-9.20039004112301,-8.77855795555064,-8.88825687280707,-8.56323712991764,-8.52724352726974,-8.67971212091401
"A18",-7.7610712116949,-7.93777477618463,-7.9101487099097,-7.97486890059088,-8.04406943483426,-7.94057982711224,-8.10177775245491,-8.08866281037708,-8.01037558904779,-8.09519878135686,-8.14218729079278,-8.1987394602977,-8.27817629094574,-8.24716605420318,-8.25868249626474,-8.13193079062559,-8.12853520162445,-8.26643447306905,-8.29404964010203,-8.12515110364021,-8.36018944260657,-8.40833878650415,-8.43561320442381,-8.39056054048287,-8.21339173708457,-8.28608147045285,-8.3061222213363,-8.3432398842928,-8.53739589873376,-8.49250057882587,-8.25868249626474,-8.44953454294242,-8.43101549517518,-8.49250057882587,-8.74033674273045,-8.56848648580379,-8.66801608115082,-8.60602440512285,-8.25482892694875,-8.57376354290463,-8.71564413014008,-8.79823072114935,-8.96348029404466,-8.97132347150568,-8.85266592770437,-8.94797610750869,-8.70352276960773,-8.44953454294242,-8.6856118430412,-8.43561320442381
"A19",-7.6231480684894,-7.6543032362692,-7.78002912543952,-7.82905855267984,-7.88592141457438,-7.92663259963139,-8.05660878408699,-8.0471895621705,-8.24335652578651,-8.02861317659757,-8.13533794894721,-8.0854107749907,-8.03785823474162,-8.02861317659757,-8.08866281037708,-8.14908386985184,-8.07250737015479,-8.0471895621705,-8.23956145481796,-8.2023824515762,-8.15602834220465,-8.24335652578651,-8.20970849166828,-8.23201424918257,-8.39056054048287,-8.22079917836244,-8.23956145481796,-8.40833878650415,-8.36877318629796,-8.33487163462228,-8.28608147045285,-8.31017902203191,-8.23578073197805,-8.21339173708457,-8.31834233267107,-8.19510969224712,-8.38178855441003,-8.44953454294242,-8.36447210439857,-8.43101549517518,-8.63372700767219,-8.63936082539045,-8.62255370707406,-8.91023577952584,-8.75926475261597,-8.56848648580379,-8.63372700767219,-8.71564413014008,-8.55282036905939,-8.41734785644652
