"","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"A10",-8.09192545601189,-8.17360348702616,-8.12177841916157,-8.18788944427364,-8.37309284744248,-8.35592504382011,-8.51719319141624,-8.48279176469891,-8.40386450610923,-8.52220573323978,-8.56323712991764,-8.61701352669845,-8.64502656292612,-8.63372700767219,-9.01148951323102,-8.62812475212352,-8.81156425201882,-8.85266592770437,-8.94031323476312,-8.87386813535497,-8.791630037118,-8.84569725838827,-8.67971212091401,-9.07057842960102,-9.03638706485274,-9.02801881518223,-8.75926475261597,-9.20039004112301,-9.22039070782968,-9.33817374348607,-9.27221577569427,-9.40879131070002,-9.30465105144742,-9.33817374348607,-9.32687418823213,-9.55283068092296,-9.42106140329184,-9.43348392329039,-9.09701168666918,-9.59600285278817,-9.64112328806864,-9.43348392329039,-9.68837617291918,-9.61081793857331,-9.49802244442796,-9.49802244442796,-9.90348755253613,-9.8265265114,-9.8265265114,-9.64112328806864
"A11",-7.98951045058382,-8.17715588863053,-8.25099015064158,-8.21339173708457,-8.41734785644652,-8.53230682922629,-8.39941015575985,-8.53739589873376,-8.47797247826296,-8.46365242448821,-8.63372700767219,-8.58440194110969,-8.70352276960773,-8.61150387088748,-8.63936082539045,-8.72176035715751,-8.88103662483358,-8.86675066758611,-8.80487526386802,-8.90285567222822,-8.89552963213615,-8.88103662483358,-8.6622189634665,-8.99522899235924,-9.04482593349861,-8.98719682066197,-8.9327086353779,-9.03638706485274,-9.2305430792937,-9.27221577569427,-9.16155020780675,-9.31570088763401,-9.39666995016768,-9.22039070782968,-9.25116236649644,-9.34960243930969,-9.45880173127468,-9.2305430792937,-8.91023577952584,-9.64112328806864,-9.56701531591492,-9.43348392329039,-9.55283068092296,-9.43348392329039,-9.53884443894822,-9.6566274746046,-9.2305430792937,-9.70463669379096,-9.53884443894822,-9.40879131070002
"A12",-7.98951045058382,-8.15602834220465,-8.11506698457359,-8.22452357745342,-8.32657283180759,-8.31017902203191,-8.44487252983661,-8.40386450610923,-8.39497555869199,-8.57376354290463,-8.66801608115082,-8.46365242448821,-8.58440194110969,-8.58440194110969,-8.50724286056307,-8.6856118430412,-8.66801608115082,-8.74033674273045,-8.90285567222822,-8.791630037118,-8.75291552493731,-8.63372700767219,-8.62255370707406,-8.77855795555064,-8.77208544104503,-8.9556981536026,-8.9792286510128,-8.99522899235924,-9.1711196588229,-9.10598035665194,-9.21034037197618,-9.11503019217186,-9.22039070782968,-9.15207146385221,-9.18078156973464,-9.10598035665194,-9.58140405336701,-9.01972001236753,-9.13337933084005,-9.39666995016768,-9.47170513611059,-9.07057842960102,-9.37285930147396,-9.5114454647601,-9.36116326171077,-9.21034037197618,-9.47170513611059,-9.2305430792937,-9.38469375912096,-9.61081793857331
"A13",-7.92940652651412,-7.98362808068076,-8.07893826048508,-8.05976834437736,-8.10177775245491,-8.26643447306905,-8.29805766149957,-8.36877318629796,-8.22452357745342,-8.45421839225485,-8.47797247826296,-8.40386450610923,-8.40833878650415,-8.47797247826296,-8.5122056499052,-8.56848648580379,-8.62812475212352,-8.44953454294242,-8.66801608115082,-8.59515473288595,-8.59515473288595,-8.51719319141624,-8.55282036905939,-8.69154657856101,-8.72176035715751,-8.70956508406369,-8.85968350036301,-8.70956508406369,-8.90285567222822,-8.96348029404466,-8.88825687280707,-8.85968350036301,-8.88825687280707,-9.08812273925193,-9.10598035665194,-9.06192036685791,-9.06192036685791,-8.97132347150568,-8.67971212091401,-9.00332620259186,-8.88103662483358,-9.26163366636373,-9.11503019217186,-9.34960243930969,-8.9792286510128,-9.04482593349861,-9.21034037197618,-9.07057842960102,-9.15207146385221,-9.11503019217186
"A14",-7.89125476054974,-7.95187938236618,-7.95757740348081,-8.07571764578504,-8.1050835405894,-8.05976834437736,-8.16302137769562,-8.16653631980307,-8.24716605420318,-8.22079917836244,-8.09519878135686,-8.31425234741955,-8.34745041682914,-8.37309284744248,-8.47797247826296,-8.50724286056307,-8.44487252983661,-8.50724286056307,-8.53739589873376,-8.36447210439857,-8.46365242448821,-8.34745041682914,-8.42188301161191,-8.60602440512285,-8.65645525874974,-8.31017902203191,-8.53230682922629,-8.44023215028011,-8.74660635574404,-8.62812475212352,-8.73410619297981,-8.72176035715751,-8.64502656292612,-8.64502656292612,-8.9327086353779,-8.77855795555064,-9.03638706485274,-8.77855795555064,-8.48279176469891,-8.72791422273189,-8.98719682066197,-8.69154657856101,-8.94031323476312,-8.88103662483358,-8.91023577952584,-8.98719682066197,-9.14268172350237,-8.99522899235924,-8.94031323476312,-9.14268172350237
"A15",-7.51472476330103,-7.61906643016975,-7.75638736238248,-7.78482529770301,-7.81905846934525,-7.77763963804214,-7.854505218341,-7.89930849535684,-7.92940652651412,-7.87533930524384,-7.932188169476,-8.00436956498757,-7.98069982090167,-8.1050835405894,-8.14908386985184,-8.07250737015479,-8.21339173708457,-8.19510969224712,-8.1987394602977,-8.26643447306905,-8.3432398842928,-8.33904700603276,-8.0471895621705,-8.1987394602977,-8.31017902203191,-8.26255097304266,-8.13533794894721,-8.34745041682914,-8.25482892694875,-8.36877318629796,-8.3432398842928,-8.49250057882587,-8.35592504382011,-8.44953454294242,-8.69154657856101,-8.50724286056307,-8.83190393625594,-8.72176035715751,-8.46840302724681,-8.81156425201882,-8.89552963213615,-8.72791422273189,-8.69154657856101,-8.69154657856101,-8.66801608115082,-8.61150387088748,-8.74033674273045,-8.74660635574404,-8.6622189634665,-8.57376354290463
"A16",-6.9157874506794,-6.95799649541888,-7.01868683968942,-7.12964961089591,-7.20346952313118,-7.14347761250321,-7.17563472413774,-7.18350878056864,-7.29194825181476,-7.20481451324652,-7.16912004311654,-7.30972649783605,-7.29341775979412,-7.39877827545195,-7.50015255644194,-7.46462484124953,-7.46288116164471,-7.54831000942291,-7.6231480684894,-7.59691043827254,-7.69741335992293,-7.74246602386387,-7.67347315237692,-7.74246602386387,-7.72420067588658,-7.71071732554929,-7.78482529770301,-7.85708586493449,-7.98362808068076,-7.87533930524384,-8.01641790350375,-8.03476704217194,-8.15602834220465,-8.14562963498375,-8.27424701280585,-8.28608147045285,-8.17006366032104,-8.22452357745342,-8.0534591751841,-8.31834233267107,-8.39941015575985,-8.40833878650415,-8.38616492900983,-8.44953454294242,-8.5122056499052,-8.62255370707406,-8.61701352669845,-8.30208181179929,-8.55282036905939,-8.38178855441003
"A17",-6.65388855502509,-6.87625661192277,-6.95170716651132,-7.02992291295634,-7.10498744851185,-6.99331316734378,-7.03105349532663,-7.17432838822368,-7.08927715560553,-7.14982684018187,-7.20078495776051,-7.13968733632943,-7.132149612198,-7.1665260079395,-7.21564005875144,-7.17694276879775,-7.21292266577494,-7.28901569839348,-7.33240320650708,-7.35092225427431,-7.50015255644194,-7.43878361006565,-7.53324381106827,-7.56360667479839,-7.60893463123935,-7.54831000942291,-7.62724643488168,-7.72420067588658,-7.68211251496763,-7.7310111448891,-7.75638736238248,-7.99246466248126,-8.03476704217194,-7.96618577801742,-8.1050835405894,-7.9633080781898,-8.0534591751841,-8.18072095479502,-7.9462136448305,-8.16302137769562,-8.16302137769562,-8.21339173708457,-8.35592504382011,-8.26643447306905,-8.24716605420318,-8.33904700603276,-8.15951874714442,-8.19510969224712,-8.14218729079278,-8.22452357745342
"A18",-6.82249543503131,-6.88403875236482,-6.94234672375176,-6.89385237381315,-7.02092397708777,-6.97817774327868,-6.9846363233181,-7.10012717162959,-7.03786396432916,-7.07027420847991,-7.04816743269888,-7.14728230954687,-7.1160102178026,-7.07735806336832,-7.0989157844433,-7.11724250384886,-7.13465587917406,-7.15237786197347,-7.1848271723219,-7.1848271723219,-7.22796054313948,-7.34007784126018,-7.34471105418167,-7.41858090274813,-7.3650401358201,-7.3697907385787,-7.43369454055818,-7.52394141840595,-7.51289158221937,-7.66277786326017,-7.61095279539558,-7.74477282996178,-7.768138378918,-7.71071732554929,-7.68211251496763,-7.78482529770301,-7.77763963804214,-7.86747556878363,-7.65009270373285,-7.89930849535684,-7.91287722456291,-8.07893826048508,-7.98069982090167,-8.09848285655805,-7.9633080781898,-8.1084002932154,-8.1084002932154,-8.08216928106653,-8.12515110364021,-8.06611757205602
"A19",-6.7758502081022,-6.89089816191571,-6.83636528289546,-6.90775527898214,-7.00757561426435,-6.89188192982585,-6.9622114647782,-7.02992291295634,-7.03445293202809,-7.02204442538426,-6.94857727350239,-7.01311579463996,-6.99440308570781,-7.05625528730058,-7.05393778916022,-7.04931884330392,-7.07027420847991,-7.04816743269888,-7.09047691579743,-7.10498744851185,-7.18746918178474,-7.19410490620014,-7.19944537283146,-7.2759246023466,-7.29636327002388,-7.25731275515201,-7.35092225427431,-7.36346160352705,-7.42526989089892,-7.48045630646622,-7.54074853672234,-7.52394141840595,-7.56746768345585,-7.55211229537265,-7.59095212868891,-7.64799406707593,-7.71968599553205,-7.74708496972016,-7.64799406707593,-7.7040432184616,-7.79206296500324,-7.82154913065771,-7.84424871817381,-7.84936381884058,-7.95472433449841,-7.97778011079833,-7.89661670369113,-7.81409568000312,-7.91835669032753,-7.86747556878363
