y,age,year
-6.1357969179979,0,2014
-7.93777477618463,1,2014
-8.55801518593649,2,2014
-8.94797610750869,3,2014
-8.83190393625594,4,2014
-9.02801881518223,5,2014
-9.15207146385221,6,2014
-9.14268172350237,7,2014
-9.52505111681588,8,2014
-9.18078156973464,9,2014
-9.43348392329039,10,2014
-9.43348392329039,11,2014
-9.07057842960102,12,2014
-9.26163366636373,13,2014
-8.69154657856101,14,2014
-8.72791422273189,15,2014
-8.40833878650415,16,2014
-8.21339173708457,17,2014
-8.07893826048508,18,2014
-7.82154913065771,19,2014
-7.66065246394786,20,2014
-7.52024455652463,21,2014
-7.46462484124953,22,2014
-7.41525311265545,23,2014
-7.48757377423508,24,2014
-7.40698176690478,25,2014
-7.52579498705528,26,2014
-7.45940289726838,27,2014
-7.42024895984882,28,2014
-7.39064153405889,29,2014
-7.29048090012081,30,2014
-7.35404238161056,31,2014
-7.34007784126018,32,2014
-7.23487142067933,33,2014
-7.19944537283146,34,2014
-7.22383682595562,35,2014
-7.16135803778106,36,2014
-7.13089883029635,37,2014
-6.99549419329014,38,2014
-6.92693809839891,39,2014
-6.80700537588199,40,2014
-6.72210593209551,41,2014
-6.68942328466515,42,2014
-6.5585078508722,43,2014
-6.40455868238064,44,2014
-6.37536387730159,45,2014
-6.2606520369236,46,2014
-6.23481080573971,47,2014
-6.07658680052482,48,2014
-6.00962851773565,49,2014
-5.88890795878289,50,2014
-5.78901361901886,51,2014
-5.70508332038925,52,2014
-5.62432455332149,53,2014
-5.49384575082927,54,2014
-5.43139172077338,55,2014
-5.31526008727835,56,2014
-5.23459167566749,57,2014
-5.16203974825549,58,2014
-5.06292908881739,59,2014
-4.94808311943929,60,2014
-4.85581341100489,61,2014
-4.75471482326811,62,2014
-4.65698993471789,63,2014
-4.54727870757231,64,2014
-4.44962048524713,65,2014
-4.38154674983703,66,2014
-4.26221898326917,67,2014
-4.26392365020658,68,2014
-4.10706512663148,69,2014
-4.00369979400005,70,2014
-3.94589007493972,71,2014
-3.83201106745876,72,2014
-3.76848559043195,73,2014
-3.67324235333454,74,2014
-3.5879487355355,75,2014
-3.43361727291827,76,2014
-3.34143901729133,77,2014
-3.19718772129813,78,2014
-3.10276084631251,79,2014
-2.97141046140893,80,2014
-2.82784776455781,81,2014
-2.70984681404515,82,2014
-2.57438069301607,83,2014
-2.46258953939697,84,2014
-2.3358420248955,85,2014
-2.22969715048821,86,2014
-2.10394737171515,87,2014
-1.98727083030788,88,2014
-1.88255983355455,89,2014
-1.77801634013619,90,2014
-1.66971353265868,91,2014
-1.5474730127209,92,2014
-1.48993191748047,93,2014
-1.34369474750107,94,2014
-1.28139395129452,95,2014
-1.15701606588651,96,2014
-1.05355479654499,97,2014
-0.981023938628408,98,2014
-0.933635282717122,99,2014
-0.766453359919661,100,2014
-6.17154860896174,0,2015
-7.95187938236618,1,2015
-8.36877318629796,2,2015
-8.97132347150568,3,2015
-8.94031323476312,4,2015
-9.33817374348607,5,2015
-9.10598035665194,6,2015
-9.27221577569427,7,2015
-9.25116236649644,8,2015
-9.43348392329039,9,2015
-9.68837617291918,10,2015
-9.55283068092296,11,2015
-9.37285930147396,12,2015
-9.11503019217186,13,2015
-8.94031323476312,14,2015
-8.69154657856101,15,2015
-8.38616492900983,16,2015
-8.35592504382011,17,2015
-7.98069982090167,18,2015
-7.84424871817381,19,2015
-7.76342138903986,20,2015
-7.56553531570479,21,2015
-7.57328729250911,22,2015
-7.60491048093962,23,2015
-7.50377574881136,24,2015
-7.45420808039128,25,2015
-7.51106175554229,26,2015
-7.54074853672234,27,2015
-7.5616817463888,28,2015
-7.44732337161378,29,2015
-7.40698176690478,30,2015
-7.47163012383794,31,2015
-7.38740528527968,32,2015
-7.33853819507459,33,2015
-7.22796054313948,34,2015
-7.22383682595562,35,2015
-7.14855376553507,36,2015
-7.12094849944318,37,2015
-7.12964961089591,38,2015
-6.95589565431007,39,2015
-6.82986874032507,40,2015
-6.7430886574269,41,2015
-6.7064484222771,42,2015
-6.63620258846024,43,2015
-6.48183416230659,44,2015
-6.45604291970865,45,2015
-6.30016598678384,46,2015
-6.1782761691748,47,2015
-6.1792409545849,48,2015
-5.97637890968994,49,2015
-5.91302312080142,50,2015
-5.84580697468562,51,2015
-5.73744267614884,52,2015
-5.62128125314446,53,2015
-5.53201643180176,54,2015
-5.46366381913603,55,2015
-5.34039014296994,56,2015
-5.24895593701031,57,2015
-5.14989736142976,58,2015
-5.12941883008622,59,2015
-5.006394299839,60,2015
-4.8846195735134,61,2015
-4.76475225581256,62,2015
-4.68507956921639,63,2015
-4.57076875927076,64,2015
-4.50306496305094,65,2015
-4.40231097797659,66,2015
-4.29379600127952,67,2015
-4.20632695418881,68,2015
-4.20311087101476,69,2015
-4.01433262425272,70,2015
-3.92779675954419,71,2015
-3.88343554857623,72,2015
-3.74274447360615,73,2015
-3.70220788432527,74,2015
-3.59517055567659,75,2015
-3.50759176491028,76,2015
-3.34169338751442,77,2015
-3.27053760819209,78,2015
-3.11237845567331,79,2015
-2.9993387691481,80,2015
-2.8693816006987,81,2015
-2.73882904729479,82,2015
-2.60501538779473,83,2015
-2.47426348968952,84,2015
-2.37706082507085,85,2015
-2.2287864543933,86,2015
-2.12823690586279,87,2015
-2.00299915353944,88,2015
-1.90799220721711,89,2015
-1.77107487803522,90,2015
-1.67754546164878,91,2015
-1.56080490347004,92,2015
-1.45092248627178,93,2015
-1.36519453633261,94,2015
-1.22805377067668,95,2015
-1.20871402617615,96,2015
-1.11145439668141,97,2015
