y,age,year
0.0016220830132023,0,2021
0.0002272421606978,1,2021
0.0001290348462706,2,2021
9.23863668356528e-05,3,2021
7.40190973316144e-05,4,2021
6.46732420492866e-05,5,2021
5.96856882171783e-05,6,2021
5.77921722150819e-05,7,2021
5.87764958434678e-05,8,2021
6.20461687940306e-05,9,2021
6.72346065393015e-05,10,2021
7.46585963197131e-05,11,2021
8.47572764079897e-05,12,2021
9.7410381733525e-05,13,2021
0.0001120004746415,14,2021
0.0001280251311054,15,2021
0.0001453738688341,16,2021
0.0001638790349402,17,2021
0.0001827549749293,18,2021
0.0002006846782953,19,2021
0.0002165308010467,20,2021
0.000229921319199,21,2021
0.0002411517593578,22,2021
0.0002506635547669,23,2021
0.0002587249253402,24,2021
0.0002655601057692,25,2021
0.0002716556667315,26,2021
0.0002778497259647,27,2021
0.000285088625178,28,2021
0.0002940600646506,29,2021
0.0003049872053234,30,2021
0.0003177192535389,31,2021
0.0003320527329556,32,2021
0.0003480788370125,33,2021
0.000366341005826,34,2021
0.0003877164477507,35,2021
0.0004131121574859,36,2021
0.0004431612926602,37,2021
0.0004780841187538,38,2021
0.0005177869565933,39,2021
0.0005621570283556,40,2021
0.000611404702567,41,2021
0.0006662640095211,42,2021
0.0007279294692239,43,2021
0.000797746097563,44,2021
0.000876790096319,45,2021
0.0009655210884335,46,2021
0.0010636515212333,47,2021
0.0011702850365904,48,2021
0.001284249931362,49,2021
0.0014044512371535,50,2021
0.0015300574332558,51,2021
0.0016604505136268,52,2021
0.0017950380102273,53,2021
0.0019331418027544,54,2021
0.0020741622112963,55,2021
0.0022180668376691,56,2021
0.0023660494106006,57,2021
0.0025210634424639,58,2021
0.0026879499666662,59,2021
0.0028730416938644,60,2021
0.003083335531068,61,2021
0.0033254720451487,62,2021
0.0036048114796535,63,2021
0.0039248863164176,64,2021
0.0042874654912829,65,2021
0.004693357218961,66,2021
0.0051438697568321,67,2021
0.0056425835012132,68,2021
0.0061969014366797,69,2021
0.0068188761986004,70,2021
0.0075250725884638,71,2021
0.0083355843886374,72,2021
0.009272627380053,73,2021
0.0103593054042539,74,2021
0.0116191998229814,75,2021
0.0130773621716098,76,2021
0.0147630440424481,77,2021
0.0167140466401191,78,2021
0.0189820058915409,79,2021
0.0216374578329842,80,2021
0.0247733417013646,81,2021
0.0285057171640369,82,2021
0.0329707827470121,83,2021
0.0383177306146062,84,2021
0.044697716128865,85,2021
0.0522505139326254,86,2021
0.061092241705088,87,2021
0.0713091540423159,88,2021
0.0829626379127854,89,2021
0.0961080716691195,90,2021
0.110825381457986,91,2021
0.127253964034775,92,2021
0.145621883573212,93,2021
0.166260430942439,94,2021
0.189599571083425,95,2021
0.21614543290982,96,2021
0.24644613880864,97,2021
0.281056563507501,98,2021
0.320516440803442,99,2021
0.365359625511162,100,2021
0.0016028779993875,0,2022
0.0002395158393998,1,2022
0.0001380860743793,2,2022
9.86606596720853e-05,3,2022
7.91546919155362e-05,4,2022
6.93812372612523e-05,5,2022
6.45455930547437e-05,6,2022
6.30231095299544e-05,7,2022
6.43238048797529e-05,8,2022
6.78978116935675e-05,9,2022
7.3424874161067e-05,10,2022
8.10952742932137e-05,11,2022
9.12245277066637e-05,12,2022
0.0001037696147656,13,2022
0.0001183166149397,14,2022
0.0001344134875075,15,2022
0.0001517251679997,16,2022
0.0001698066444857,17,2022
0.0001878549682847,18,2022
0.000204851068743,19,2022
0.0002200174963034,20,2022
0.0002331342900056,21,2022
0.0002444364137398,22,2022
0.0002542873257296,23,2022
0.000262990760566,24,2022
0.0002708622442018,25,2022
0.0002783906981656,26,2022
0.000286267298653,27,2022
0.0002952272149178,28,2022
0.0003058320710638,29,2022
0.0003183592656922,30,2022
0.0003328712371241,31,2022
0.0003494119535681,32,2022
0.00036819932018,33,2022
0.000389690722223,34,2022
0.0004144858708615,35,2022
0.0004431353068267,36,2022
0.000475977110873,37,2022
