y,age,year
-6.43400866345757,0,2022
-8.24335652578651,1,2022
-8.94797610750869,2,2022
-9.22039070782968,3,2022
-9.38469375912096,4,2022
-9.6566274746046,5,2022
-9.70463669379096,6,2022
-9.72116599574217,7,2022
-9.8265265114,8,2022
-9.67237583157274,9,2022
-9.79015886722913,10,2022
-9.88368492523995,11,2022
-9.56701531591492,12,2022
-9.52505111681588,13,2022
-9.05333662316652,14,2022
-8.88825687280707,15,2022
-8.66801608115082,16,2022
-8.67971212091401,17,2022
-8.43561320442381,18,2022
-8.41734785644652,19,2022
-8.40386450610923,20,2022
-8.15951874714442,21,2022
-8.16653631980307,22,2022
-8.33487163462228,23,2022
-8.25099015064158,24,2022
-8.18072095479502,25,2022
-8.23956145481796,26,2022
-8.23578073197805,27,2022
-8.1987394602977,28,2022
-8.11506698457359,29,2022
-8.0194528071989,30,2022
-7.99839939800107,31,2022
-7.98656494035407,32,2022
-8.05031945517943,33,2022
-7.87271118283757,34,2022
-7.76342138903986,35,2022
-7.7310111448891,36,2022
-7.59691043827254,37,2022
-7.6231480684894,38,2022
-7.49115159558296,39,2022
-7.42359344457167,40,2022
-7.33546599603762,41,2022
-7.24602913754998,42,2022
-7.19543735143392,43,2022
-7.08927715560553,44,2022
-7.00757561426435,45,2022
-6.92795798629966,46,2022
-6.85421451205411,47,2022
-6.6854120478387,48,2022
-6.57701371706991,49,2022
-6.52726615694415,50,2022
-6.46821085722111,51,2022
-6.39015267093712,52,2022
-6.31664082398734,53,2022
-6.20465776756902,54,2022
-6.1516332992608,55,2022
-6.09371878114674,56,2022
-6.00637515984374,57,2022
-5.97480410621487,58,2022
-5.89797420402064,59,2022
-5.81382057986514,60,2022
-5.76353247906197,61,2022
-5.64986263266677,62,2022
-5.55192012534696,63,2022
-5.46720950303033,64,2022
-5.4039001291231,65,2022
-5.34645774187597,66,2022
-5.25909665339476,67,2022
-5.14473827861974,68,2022
-5.03549167009512,69,2022
-4.9534518805688,70,2022
-4.86355238939501,71,2022
-4.74730995314921,72,2022
-4.62762031482568,73,2022
-4.5177089102181,74,2022
-4.37556753961314,75,2022
-4.34975307412359,76,2022
-4.16743151732963,77,2022
-4.00814851752553,78,2022
-3.93657187834956,79,2022
-3.73773362033146,80,2022
-3.62722007372721,81,2022
-3.46945480936848,82,2022
-3.35512519355977,83,2022
-3.16178685788407,84,2022
-3.04906976114467,85,2022
-2.88102953269384,86,2022
-2.75027943531995,87,2022
-2.59112086307531,88,2022
-2.42652831368922,89,2022
-2.26862820951586,90,2022
-2.10799740703077,91,2022
-1.98813938327305,92,2022
-1.83721719215284,93,2022
-1.70994356536574,94,2022
-1.57031816591624,95,2022
-1.45415787057628,96,2022
-1.34156194228454,97,2022
-1.22957441326167,98,2022
-1.13329690547997,99,2022
-0.859286517235312,100,2022
