y,age,year
0.0018059947943294,0,2022
0.0002613604611999,1,2022
0.0001532455780032,2,2022
0.0001090367095776,3,2022
8.62892176245394e-05,4,2022
7.44539658844356e-05,5,2022
6.74534975172801e-05,6,2022
6.38302737908148e-05,7,2022
6.37223047550221e-05,8,2022
6.68414301945299e-05,9,2022
7.30455758053942e-05,10,2022
8.30153837540086e-05,11,2022
9.79326419283927e-05,12,2022
0.000118767229107,13,2022
0.000145966984802,14,2022
0.0001796725019868,15,2022
0.0002198556886215,16,2022
0.0002657428537525,17,2022
0.0003148481834124,18,2022
0.0003628162736641,19,2022
0.0004047739259022,20,2022
0.0004373152657274,21,2022
0.0004595301382859,22,2022
0.0004726186846679,23,2022
0.0004789573710722,24,2022
0.0004814291631259,25,2022
0.0004830488026985,26,2022
0.0004865853745583,27,2022
0.0004941150015632,28,2022
0.0005066951983725,29,2022
0.0005243615739135,30,2022
0.0005464967434616,31,2022
0.0005724366261644,32,2022
0.0006020290641565,33,2022
0.0006358475770324,34,2022
0.0006749511398242,35,2022
0.0007203520831616,36,2022
0.0007725151260508,37,2022
0.0008311892488082,38,2022
0.0008957153209856,39,2022
0.0009657143785689,40,2022
0.0010418326671426,41,2022
0.0011261488031835,42,2022
0.0012220166132783,43,2022
0.0013334084826832,44,2022
0.0014640336977918,45,2022
0.0016165528176287,46,2022
0.0017921542797635,47,2022
0.0019906590002055,48,2022
0.0022111546127873,49,2022
0.002452934236072,50,2022
0.0027163355117163,51,2022
0.0030030941527074,52,2022
0.0033160703748625,53,2022
0.0036585347638442,54,2022
0.004033424086463,55,2022
0.0044429970082456,56,2022
0.0048891433596537,57,2022
0.0053743040736603,58,2022
0.0059026613695214,59,2022
0.0064810990968469,60,2022
0.0071195004051829,61,2022
0.0078302128621468,62,2022
0.0086268347837246,63,2022
0.0095227201120558,64,2022
0.0105296942634717,65,2022
0.0116574180756645,66,2022
0.0129136513111181,67,2022
0.0143053846933793,68,2022
0.0158405086823921,69,2022
0.0175294979931345,70,2022
0.0193866324117628,71,2022
0.021430565286509,72,2022
0.0236844749691095,73,2022
0.0261763956985088,74,2022
0.0289404450158842,75,2022
0.0320194599201397,76,2022
0.0354690624451821,77,2022
0.0393625503452936,78,2022
0.0437954640053217,79,2022
0.0488883964450557,80,2022
0.0547866518676122,81,2022
0.0616556716347485,82,2022
0.0696716875676791,83,2022
0.0790078972202753,84,2022
0.0898177287597458,85,2022
0.102218458986107,86,2022
0.116280086208578,87,2022
0.132024925525273,88,2022
0.149441786804631,89,2022
0.168514516604251,90,2022
0.189259339061938,91,2022
0.211761237278972,92,2022
0.236198818825732,93,2022
0.262850274120028,94,2022
0.292078744305882,95,2022
0.324301376599807,96,2022
0.359950876512613,97,2022
0.399440989512325,98,2022
0.443148314459788,99,2022
0.491422445216582,100,2022
