"Age","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"A10",0.000333640610915055,0.000289315241557295,0.00028653483136926,0.000282768963007643,0.000236138670871418,0.00023772139104609,0.000213579723738984,0.00021220549382381,0.000216906808959596,0.000209054380444659,0.000189607498066512,0.000185715976090004,0.000183467839786855,0.000178775907753668,0.000153624445898441,0.000167442501467138,0.000158575062761014,0.000143324275769143,0.000145982241929557,0.000146514662570648,0.000144333349137984,0.000143759582086243,0.00017461774339164,0.00012413575699792,0.000123022927500986,0.000126916998886982,0.000133400246212843,0.000115618875448686,0.00010363352980626,9.83634780232166e-05,9.67773204538701e-05,0.000103164882457049,0.000107274082226154,9.61039793729787e-05,8.97659712181465e-05,9.18886949387624e-05,8.23132034281481e-05,9.39568684099805e-05,0.000127783737627201,8.38447450971364e-05,8.50059674510822e-05,9.18482752357187e-05,8.67282123125863e-05,7.94254263915016e-05,8.21446233830787e-05,8.0481820442217e-05,7.8119909031817e-05,6.81045878973152e-05,7.45569734545441e-05,7.30455758053942e-05
"A11",0.00031679819941395,0.000275189417404649,0.000274315754533687,0.000269944274619031,0.000230882946641882,0.000219050241923424,0.000208936155873017,0.000201570698417597,0.000221051043859147,0.000198579275318774,0.000177043157888514,0.000186001735188824,0.000175076192914295,0.00017534359627507,0.000164928529892943,0.000162349612172886,0.00015088393605056,0.00014913003789311,0.000140094099848239,0.000144829320866661,0.000145629997830066,0.000151125700387209,0.000175923780989812,0.000130576513344352,0.000128371723946752,0.000128067833389541,0.000132423881235799,0.000125338604343227,0.000107823629464743,0.000103657173399182,0.000104212308590768,0.000110201899373075,0.000112158083872668,0.000104112666894619,9.60640039610092e-05,0.000100146847674833,8.53736311636033e-05,0.000103813949906973,0.000136635645437629,8.94757012489353e-05,9.16860283283872e-05,9.87436219591886e-05,9.44440624758323e-05,8.74402273561512e-05,9.19299908259725e-05,8.97189647438771e-05,8.51872184785683e-05,7.89845923126844e-05,8.34604400262135e-05,8.30153837540086e-05
"A12",0.000317163510940918,0.000282443255051984,0.000277709203888929,0.000269497178866896,0.00024377091941583,0.000223199531581287,0.00021309261416169,0.000211250012864235,0.000223029789968661,0.000191871906386568,0.000184692199972861,0.000195844860402143,0.000183371728558568,0.000179845347439684,0.000177248856282282,0.000162655021570621,0.000157524584032874,0.000160940092177981,0.000143864978891554,0.000153932707503854,0.000155914427919052,0.000167318458203232,0.000188023022103757,0.00014649797428211,0.000142918174014846,0.000142977441847467,0.000139030927921123,0.000144511771239829,0.000121406893866836,0.000119473590706441,0.000120338448522509,0.000125097027279801,0.000125457576850845,0.000119114169440865,0.000107857168493948,0.000114751230960152,9.45332595081375e-05,0.00011896069649583,0.000152686392893254,0.000101982557497173,0.000103600811462787,0.000110545444610426,0.000106976277534812,0.000100152096854363,0.000106090640755198,0.000103060018698939,9.66064048124143e-05,9.4913688087611e-05,9.73332437074063e-05,9.79326419283927e-05
"A13",0.000354311789757341,0.000326778136169017,0.000312644138659099,0.00029657421741707,0.00028345873061244,0.000260024737231463,0.000241814235109545,0.000249132369019117,0.000237793995782778,0.000212299464293625,0.000222760959768963,0.000225481573937542,0.000218236005108169,0.00020362748990297,0.000196509534336225,0.000181960108717444,0.000185212705093068,0.000184000190548914,0.000165574165989554,0.00017986163745168,0.000179427696549519,0.000194963642636294,0.000215448183182558,0.000175464570152847,0.000170308954339351,0.000174289862793011,0.000161052498560673,0.000174746598951829,0.000147892002325978,0.000148418743094363,0.000148061391621929,0.000149225976988963,0.000148320970293831,0.000142679107237184,0.00012670057485885,0.000137099297505304,0.00011249108403262,0.000140114209863069,0.000176740231214605,0.000122116995932969,0.000121786750247607,0.000128138919542859,0.000125081387948674,0.000118492464277657,0.00012536047457952,0.000121059476144587,0.000113499524105675,0.000116866292123009,0.000117022172795991,0.000118767229107088
"A14",0.000456232557416811,0.000426948911446167,0.000399088983395367,0.000370299656353013,0.000361546365401523,0.000345483509457349,0.000318338906679062,0.000327441601460636,0.000295863121641524,0.000285588271410484,0.000306352375334267,0.000291467159104177,0.000292232665716546,0.000262482841800873,0.000243149729757295,0.000238274842785976,0.000245291137112958,0.000234628277539954,0.000217863892523907,0.000233566744044361,0.000225481541317191,0.000241626771474998,0.000263689469381095,0.000224318184658375,0.000217283970512201,0.000227582432116143,0.000208655253717555,0.00021906312091406,0.000191791614057006,0.000193287613888308,0.000189930589521504,0.00018396223048421,0.000181714874301626,0.000177383001425494,0.000155666783711441,0.00016880212360947,0.000142212197412317,0.000168258162813666,0.000209266370732813,0.000150271861354391,0.000147528644412961,0.000152488427298716,0.000149551580308052,0.000143300061827554,0.000150540381322819,0.000144248766625563,0.00013704936697059,0.000145303332833226,0.000142854114941654,0.000145966984802079
"A15",0.000644154711817619,0.00059289930450928,0.000549867768984269,0.000505339490669401,0.000484197664208891,0.000494307695548959,0.000463648957498035,0.000454278633720521,0.000425554768930725,0.000433403019442846,0.000446929409380994,0.000409286258980145,0.000415678447553144,0.000373647059266849,0.000342031565759389,0.000351071675654203,0.000351272093427888,0.000332869381959743,0.000315080390772079,0.000327911750102726,0.000304851958611403,0.000316259307149903,0.000336409422664611,0.000299281960420272,0.000290785655995279,0.000308023390967784,0.000289149754042392,0.000280021543321895,0.00025652119340169,0.000255449396501393,0.000247061845730453,0.000230217945741574,0.00022613735244899,0.000225229279193492,0.00019799159538597,0.000211191829611731,0.00018608472361316,0.000204585224778223,0.000250519748423172,0.000187177447982812,0.000182218875667398,0.000184496579794423,0.000181061447637178,0.000175167195524893,0.000182279416732633,0.000173045588251975,0.000168413640378422,0.000180548060379823,0.000175049435824508,0.000179672501986802
"A16",0.000894843444563403,0.000798824941104323,0.000746323548972862,0.000691231699528837,0.000638263480747275,0.000694224441730167,0.000667540655574777,0.000615391235407709,0.000623448042601793,0.000637832627265335,0.000627951424868583,0.000574544399423442,0.000581057027252358,0.000541105379762044,0.000505791476944963,0.000524545818717632,0.000506160025515637,0.000486171524409045,0.000460758491765314,0.000465976512566029,0.000420900858720046,0.000421253154394759,0.000431082428842061,0.000398482300044032,0.000390738133745715,0.00041313389163327,0.000395255208696766,0.000356191978434731,0.000340357597707966,0.000332406753018547,0.000317484749735131,0.000287583457795129,0.000281263451984915,0.000285511604382963,0.000254808552908809,0.000264443579523031,0.000244650744062369,0.000250012532298641,0.000300228827252661,0.000234062065893095,0.0002268423561747,0.000224857998105909,0.000219840783324077,0.000214273675116845,0.000220638320015626,0.000207607471483755,0.00020827903231757,0.000222957198266972,0.000213938478667243,0.000219855688621503
"A17",0.00111601291408119,0.000975630859866424,0.000925999725115149,0.000874669217457536,0.000786497777927909,0.000882491021921472,0.000858952721834542,0.000765980046658029,0.000812061907238528,0.000812494454772023,0.000792641236711045,0.000743419390817532,0.000748999992887638,0.000729057208759837,0.000698812910572965,0.000717246283877843,0.000682481511966736,0.000661769137953197,0.00062721957754101,0.000622543719467252,0.000556543798055285,0.000542142637511843,0.000535788702516001,0.000505740412918038,0.000501617549697095,0.000526652970798256,0.000499228682712893,0.000439742623756855,0.000433172559276085,0.000416070069562831,0.000394324458011077,0.000353236952463235,0.000345417213025896,0.000353737633334444,0.000323137194246089,0.000326606302365272,0.000315592117791568,0.000304297750568036,0.000356783892816377,0.000291293972389895,0.00028112329708243,0.00027376162375409,0.00026521775767111,0.000260028432677913,0.000264603980595778,0.000247520345966964,0.000255970092835947,0.000272136303276444,0.000259237462743928,0.000265742853752572
"A18",0.00122260456206104,0.00106673629119134,0.00102994095630135,0.000992928078353631,0.00089065273610332,0.00098506029892595,0.000956326162135101,0.000861075416088792,0.000897414992064694,0.000884081970876218,0.000887090217488964,0.00085682516818392,0.000865818829194156,0.000866857984436597,0.000835880549737893,0.000854117013002229,0.000824551807433114,0.000793458751957156,0.000760170662476176,0.000747038148090893,0.000674535648765147,0.000648184156000894,0.00063190442716182,0.000596368730521524,0.000595163397787623,0.000623608136689406,0.000573642532069805,0.000518798550954001,0.000518847583422858,0.000494286165659161,0.00046627302396801,0.000421445047814899,0.000414876713960872,0.000422821496098916,0.000395952637024549,0.000393216700573084,0.0003934974367076,0.000365238562123224,0.000416771291328206,0.000356275544913414,0.00034266557777475,0.000330229055913246,0.000315231947861236,0.000310531917509551,0.000311864822922658,0.000291379508339646,0.000308526771780869,0.000325678295737406,0.000308838481006397,0.000314848183412412
"A19",0.00122712956737212,0.00108146446474583,0.0010589320411239,0.00103266062985861,0.000941133879110478,0.000991459122771638,0.000955248744483661,0.000893900986924769,0.000884735310372253,0.000876194338537758,0.000910714099754188,0.00089590482655203,0.000906346129474005,0.000910229084829287,0.000867574818203419,0.000897094518131247,0.000890183161703172,0.000844951807579952,0.00082242581694916,0.00080418907433327,0.00074348745095935,0.000713466209646273,0.000702717569311781,0.0006538588784222,0.000649484654303473,0.000686025644507515,0.000616542297298144,0.000583665594566918,0.000583543766221075,0.000556107550140342,0.000522696206660339,0.000484736155357216,0.000483677312227815,0.000485603368293564,0.000464734755290752,0.000458083895798308,0.000470256499538439,0.000428638445214079,0.000475743967067296,0.000422940005336243,0.000406695739286076,0.000391218276241084,0.000366631204523009,0.000362285443991227,0.000359075025982835,0.000336569418807802,0.000360597814108138,0.000378874094226806,0.000358541594975823,0.000362816273664153
